BusStationName,Latitude,Longitude
"Indiranagar Double Road,INDIRA NAGARA,BESIDE MANYVARA, 13TH CROSS",12.97809,77.635956
"Lakshmipura Ulsoor,INDIRA NAGARA,BESIDE BBMP BURIAL GROUND",12.978241,77.631986
Halasur,12.978018,77.628324
Trinity Circle,12.972838,77.621672
"Manipal Centre,M.G.ROAD,BESIDE MILITARY GATE",12.975474,77.61345
"maniksha pardeground,M.G.ROAD,BESIDE PARADE GROUND",12.977275,77.60787
"Mysore Bank,VASANTHA NAGARA,BESIDE ALL INDIA COUNCIL FOR TECHNICAL",12.974661,77.581996
"Maharani College,BESIDE SJP COLLEGE",12.977046,77.585916
Kempegowda Bus Station,12.978062,77.572342
"Peenya 2nd stage,PEENYA 2ND STAGE,IN FRONT OF M.P.P.TEHNOLOGIES PVT LTD",13.010767,77.506725
"Rajagopalanagar Rajni Farms,PEENYA INDUSTRIAL AREA 2ND STAGE,IN FRONT OF MANJUNATHA REFRESHMENT",13.013971,77.508923
"Peenya 14th Cross,PEENYA INDUSTRIAL AREA 2ND STAGE,OPPOSITE OF SISTEMS MANUFACTURING PVT LTD",13.017041,77.505846
"Brundavana Peenya 2nd Stage,PEENYA INDUSTRIAL AREA 2ND STAGE,IN FRONT OF NEW TIMBER INDUSTRY",13.020267,77.507995
"NTTF,N.T.T.F.CROSS,IN FRONT OF NEW TIMBER INDUSTRY",13.024945,77.510955
"Rolling Mill,PEENYA INDUSTRIAL AREA,BESIDE ARVIND MOTORS",13.026582,77.51472
"TVS Cross ,PEENYA INDUSTRIAL AREA,IN FRONT OF MALLIPORE LIMITED",13.028595,77.519569
"System Jalahalli Cross,PEENYA INDUSTRIAL AREA,IN FRONT OF SISTEMS MANUFACTURING PVT LTD",13.035002,77.517911
Jalahalli Cross,13.039625,77.518229
T Dasarahalli,13.042991,77.512418
"Tumkur Road 8th Mile,8TH MILE,BESIDE DURGA SAW MILL",13.046051,77.507492
"Widia School Bagalagunte,T.DASARAHALLI,BESIDE ESHWARI MEDICALS",13.0511,77.507698
"Bagalagunte,BAGALAGUNTE,BESIDE MATAJI STEEL CENTER",13.056252,77.507304
"Bone Mill,BONE MILL,BESIDE PAVAN MEDICALS",13.063843,77.505073
"Sapthagiri College Chikka Banawara,KIRLOSKAR LAYOUT,BESIDE NEW UDUPI UPAHARA",13.066869,77.503241
"Janapriya Apartments,JANAPRIYA APARTMENTS,BESIDE OPEN AREA",13.073459,77.503084
"Chikkabanawara Railway Gate,CHIKKA BANAVARA,BESIDE GREEN COMFORT CAMPUS HOME",13.075507,77.504612
"Chikkabanawara ,CHIKKA BANAVARA,BESIDE SUMA TRADERS",13.081903,77.500216
Borewell,12.955218,77.687782
Maratahalli,12.956436,77.695099
Maratahalli Bridge,12.95693,77.70178
Spice Garden,12.956478,77.709056
"Kundalahalli Gate,KUNDALAHALLI,OPPOSITE OF HYPER CITY",12.958235,77.715564
"BEML Gate,KUNDALAHALLI,OPPOSITE OF HYPER CITY",12.961104,77.716458
"AECS Layout,KUNDALAHALLI,OPPOSITE OF BROOK FIELD",12.965156,77.71825
Graphite India,12.978184,77.71143
"SAP ITPL,WHITEFIELD,IN FRONT OF SAP",12.977719,77.715024
"Vydehi Hospital,WHITEFIELD,BESIDE TTMC BUS STAND",12.976657,77.726784
"Sai Baba Hospital,WHITEFIELD,OPPOSITE OF SRI SATHYA SAI HOSPITAL",12.983661,77.728461
"Pattandur Agrahara Gate,IN FRONT OF APPOLO PHARMACY",12.987941,77.73374
"ITPL,OPPOSITE OF I.T.P.L. MAIN GATE",12.987639,77.737373
"B P L,OPPOSITE OF CINEMA HALL",12.985353,77.747989
Hope Farm,12.982607,77.752211
White Field,12.969345,77.749992
Varthuru Kodi,12.956958,77.745439
Ramagondanahalli Varthuru,12.956913,77.739784
Siddapura,12.956043,77.730682
Thubarahalli,12.955713,77.720503
Kundalahalli Gate,12.955826,77.713675
"JP Nagara 1st Phase,SHAKAMBARI NAGARA,BESIDE APOLLO PHARMACY",12.91141,77.574138
"Indira Gandhi Circle,SHAKAMBARI NAGARA,BESIDE S.B.M.LAYOUT",12.910885,77.578939
"Eliyas Nagar,ILYASA NAGARA,BESIDE M.S.MADEENA STORE",12.905611,77.569044
"Jn Of Ring Road,ILYAS NAGARA,BESIDE R.R.DIAGNOSTIC CENTER",12.907534,77.571314
Banashankari Bus Station,12.9182,77.5733
"Kadirenahalli Cross,BANASHANKRI 2ND STAGE KAVERI NAGARA,BESIDE KAVERI GLASS & PLYWOODS",12.91381,77.567431
"Dayananda Sagar College,KUMARASWAMY AYOUT 2ND STAGE,IN FRONT OF STATE BANK OF INDIA",12.909422,77.565394
"Kumaraswamy Layout Police Station,KUMARA SWAMY LAYOUT,IN FRONT OF KUMARA SWAMY LAYOUT POLICE STATION",12.905165,77.562717
Kumaraswamy Layout ,12.902954,77.561565
Canara Bank,12.90086,77.55987
"ISRO Layout,ISRO LAYOUT,IN FRONT OF BHARTHIYA STATE BANK",12.898875,77.55831
"Vasanthapura,VASANTHAPURA,BESIDE OPEN AREA",12.896358,77.55211
Brigade Road,12.971528,77.606726
St. Patrics Church,12.965808,77.60687
Johnson Market,12.963474,77.606824
Anepalya,12.952496,77.604873
MICO Gate,12.944551,77.602837
Bangalore Dairy Circle,12.935572,77.601495
"Ashrama,OPPOSITE OF BHARATH PETROL BUNK",12.925765,77.600483
Gurappana palya,12.919492,77.600164
MICO Checkpost,12.913944,77.600124
JP Nagara 3rd Phase,12.908302,77.600391
Bilekalli,12.900772,77.601151
IIM Appolo Hospital,12.896518,77.600083
Arakere Gate Byrapura,12.890204,77.598103
BPL,12.887442,77.597034
Hulimavu Gate,12.880703,77.595938
Meenakshi Temple,12.874185,77.594659
Loyala School,12.871193,77.593645
Kalena Agrahara,12.866284,77.591937
Gottigere High School,12.861951,77.590474
Gottigere,12.855166,77.588814
TJohn College Cross,12.850577,77.588434
Basavanapura Gate,12.846425,77.588326
Koli Farm Gate Bannerghatta Road,12.841468,77.588613
Tulip Resort Cross,12.83543,77.58912
Kalkere,12.832604,77.589092
AMC College Bannerghatta Road,12.830531,77.588161
Jalli Machine Bannerghatta Road,12.82565,77.586322
